,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20
0,0,0,6,0,12,0,23,0,30,0,35,0,43,1,48,1,54,1,55,3,60,3,68,3,73,3,79,3,85,3,93,3,105,3,117,3,131,3,137,4,145,4
0,0,0,3,0,7,0,23,0,43,0,57,1,62,2,66,2,72,3,82,3,89,3,95,4,108,5,113,5,118,7,118,7,118,7,118,7,118,7,118,7,118,7
0,0,0,2,0,5,1,16,1,17,2,24,2,40,2,47,2,59,2,70,2,71,5,74,5,78,5,87,5,91,5,103,5,116,6,127,6,142,6,149,7,166,7
0,0,0,3,0,14,0,22,1,24,2,27,2,36,2,44,2,54,2,64,2,70,2,76,3,81,3,83,3,92,3,96,4,119,4,131,4,134,5,144,5,156,5
0,0,0,8,0,19,0,37,0,42,1,54,1,69,1,74,1,86,1,93,1,101,2,114,2,119,2,133,2,140,4,145,4,154,6,161,6,170,7,178,7,182,9
0,0,0,4,0,7,0,21,0,25,0,34,0,36,1,40,2,47,3,53,3,59,3,65,3,70,3,83,3,93,4,103,4,114,4,128,4,136,5,142,5,157,5
0,0,0,6,0,14,0,29,0,34,1,41,2,47,2,52,3,58,3,62,3,67,3,76,3,82,3,89,3,94,3,105,4,114,4,126,4,132,5,137,6,150,7
0,0,0,6,0,12,0,13,0,14,1,16,1,23,1,30,1,32,1,39,2,44,3,48,4,52,4,55,4,58,4,70,4,79,4,80,6,85,7,91,7,99,7
0,0,0,3,0,9,1,16,1,16,1,20,1,32,1,46,2,60,2,62,2,67,2,70,3,77,3,82,3,87,3,93,3,99,4,116,4,120,5,128,5,145,5
0,0,0,2,0,9,0,18,0,31,0,39,0,49,0,60,0,67,0,78,1,78,2,86,2,89,2,96,2,109,2,117,2,132,2,139,3,143,3,152,4,163,5
0,0,0,9,0,17,0,23,0,29,0,38,0,51,0,55,0,67,0,78,0,89,0,100,0,106,1,110,1,116,2,124,2,128,3,140,3,149,4,155,5,162,5
0,0,0,18,0,30,0,41,1,48,1,67,1,81,1,89,4,89,4,89,4,89,4,89,4,89,4,89,4,89,4,89,4,89,4,89,4,89,4,89,4,89,4
0,0,0,3,2,6,2,15,2,22,3,27,3,35,3,40,3,50,3,55,3,63,3,78,3,83,4,88,4,100,4,111,4,120,5,132,5,144,6,153,6,169,7
0,0,0,11,0,16,0,19,0,33,0,41,0,54,0,59,0,62,1,70,1,76,1,86,1,93,1,103,1,110,1,113,2,121,2,140,3,157,3,166,4,180,5
0,0,0,4,0,7,0,16,0,27,0,48,0,55,0,69,0,72,0,85,0,88,2,95,2,105,2,112,2,121,2,128,3,146,3,168,3,178,4,195,4,211,5
0,0,0,9,0,10,1,17,1,32,1,53,1,63,2,76,2,82,2,88,2,90,2,100,2,113,2,128,2,136,3,139,3,152,3,157,5,162,5,177,5,185,5
0,0,0,10,0,20,1,26,1,27,1,39,1,42,2,50,2,56,3,61,3,65,4,67,5,69,5,76,5,83,5,89,5,93,6,99,7,109,7,117,8,137,8
0,0,0,1,1,8,1,17,1,32,1,47,1,48,2,58,2,61,3,66,3,70,3,74,4,77,5,86,5,87,5,94,6,115,6,124,6,129,6,147,7,159,9
0,0,0,5,0,17,0,22,0,34,0,46,1,50,1,54,1,67,1,77,1,81,2,88,2,94,3,99,3,110,3,115,3,130,3,139,3,156,4,164,4,175,5
0,0,0,4,0,10,0,22,0,28,0,35,0,47,0,49,0,50,1,53,1,61,1,63,2,64,4,68,4,77,4,86,5,94,5,106,5,112,6,122,7,128,7
0,0,0,2,0,4,1,9,1,17,3,24,3,28,3,30,4,34,4,45,4,48,5,54,5,61,5,64,5,69,5,73,7,88,7,97,8,112,8,112,8,112,8
0,0,0,4,0,21,0,32,0,40,0,47,0,66,0,74,0,80,0,85,0,105,0,110,0,122,1,126,1,140,1,148,2,162,2,168,2,175,4,187,4,192,5
0,0,0,14,0,32,0,34,0,43,0,51,0,52,1,56,1,70,1,87,1,94,2,100,2,111,2,124,2,128,2,140,2,154,3,168,4,176,5,187,5,198,5
0,0,0,4,1,5,2,15,2,16,2,25,2,25,3,28,3,34,3,42,3,47,3,56,3,73,4,79,4,83,6,88,7,93,8,96,8,101,8,104,8,111,10
0,0,0,18,0,21,0,32,0,47,0,59,0,65,0,73,0,80,0,81,1,86,1,89,2,91,2,102,2,110,3,120,3,128,3,132,4,136,5,142,5,150,7
0,0,0,8,0,14,1,25,1,28,2,30,3,40,3,44,3,47,3,50,3,54,3,60,3,66,4,73,4,81,4,97,4,109,4,126,4,131,5,140,5,153,7
