,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20,target,chased
0,0,0,7,1,17,1,27,1,42,1,48,3,55,3,59,3,65,3,71,3,83,3,97,3,107,3,118,3,130,3,134,3,140,4,144,4,157,4,162,5,181,5,192,0
0,0,0,11,0,17,0,28,0,33,0,37,0,41,1,46,2,55,2,67,2,77,2,90,3,101,3,108,3,110,3,129,3,140,3,148,3,158,3,167,3,167,3,165,1
0,0,0,9,0,22,1,31,1,39,1,44,2,51,3,54,3,70,3,74,3,78,3,93,3,100,3,107,3,120,4,128,5,136,5,143,5,147,7,151,9,151,10,197,0
0,0,0,8,0,25,0,31,0,43,0,54,0,64,0,83,0,93,0,101,0,106,0,113,0,118,1,123,1,134,1,142,2,147,2,154,2,156,2,172,2,172,2,170,1
0,0,0,10,0,16,0,24,1,30,1,36,1,43,1,46,2,53,2,58,2,61,2,79,2,83,3,88,3,103,3,106,3,123,4,137,4,150,5,171,5,171,5,166,1
0,0,0,10,0,16,0,23,1,25,3,29,4,31,4,35,4,42,4,45,4,52,5,57,5,63,5,80,5,85,5,101,5,113,5,124,5,142,5,160,6,169,6,179,0
0,0,0,2,0,4,1,6,2,22,2,29,2,37,2,42,3,53,3,65,3,81,3,85,4,90,4,101,4,109,4,114,5,119,5,129,6,132,8,133,10,133,10,163,0
0,0,0,0,0,6,0,14,0,24,0,34,0,44,0,58,0,66,0,74,0,78,0,88,1,92,2,104,2,108,2,110,2,110,2,110,2,110,2,110,2,110,2,110,1
0,0,0,6,0,13,1,22,1,32,1,44,1,52,1,55,1,63,1,67,2,81,2,81,3,93,3,99,3,103,3,109,4,110,4,117,4,120,4,127,4,127,4,127,1
0,0,0,3,0,4,0,15,0,24,0,30,1,50,1,58,1,71,1,77,1,78,2,88,2,94,2,101,2,112,2,115,2,125,2,127,3,148,3,148,3,148,3,145,1
0,0,0,9,0,24,0,28,0,34,0,42,0,62,0,71,1,84,1,95,1,98,2,100,3,107,3,115,3,138,3,142,4,148,4,155,4,166,4,173,6,188,6,188,1
0,0,0,4,0,9,0,17,0,19,1,32,2,35,2,38,2,41,2,51,2,53,3,68,3,76,3,91,3,96,3,111,4,124,4,124,4,124,4,124,4,124,4,130,0
0,0,0,10,0,11,0,20,0,28,0,33,0,50,0,57,0,65,0,69,0,81,0,86,0,101,1,111,1,114,1,129,1,141,2,141,2,141,2,141,2,141,2,141,1
0,0,0,9,0,10,0,17,0,22,0,36,0,39,0,44,0,60,0,71,0,79,0,95,0,96,1,102,1,110,1,117,1,126,1,126,1,126,1,126,1,126,1,123,1
0,0,0,12,0,16,1,21,1,29,1,31,2,35,2,45,2,53,2,68,2,76,2,87,2,95,4,97,4,107,5,115,6,119,6,127,6,146,6,155,6,163,9,182,0
0,0,0,5,0,11,0,17,1,27,1,41,2,55,3,58,3,63,3,70,4,74,4,86,4,91,5,99,5,121,5,125,6,137,6,154,6,161,7,172,7,181,7,205,0
0,0,0,1,0,7,0,11,0,14,1,15,2,21,2,33,2,43,2,65,2,80,2,88,3,98,4,102,4,105,4,120,4,138,5,144,5,150,5,155,7,159,7,157,1
0,0,0,12,0,13,0,17,0,25,0,33,0,42,0,45,1,58,1,66,1,70,1,91,1,101,1,110,1,123,1,141,1,144,1,144,1,144,1,144,1,144,1,144,1
0,0,0,5,1,16,1,18,2,28,2,32,4,37,4,41,4,52,5,59,5,64,5,67,5,73,6,80,6,91,6,97,6,101,7,104,7,110,10,110,10,110,10,134,0
0,0,0,7,0,19,0,23,0,37,0,57,0,78,0,81,0,84,1,90,1,107,1,115,1,120,1,132,1,158,1,158,1,158,1,158,1,158,1,158,1,158,1,157,1
0,0,0,5,0,8,1,10,1,28,1,29,2,38,2,46,2,49,2,54,2,67,2,78,3,98,4,109,4,132,4,140,5,146,5,161,5,171,5,178,7,180,7,222,0
0,0,0,10,0,21,0,27,1,44,1,61,1,71,1,73,2,74,2,78,3,84,3,93,3,112,4,114,4,120,4,128,4,137,4,152,4,170,5,180,6,182,9,195,0
0,0,0,6,1,21,1,44,1,48,2,53,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,2,68,1
0,0,0,3,0,15,1,30,2,34,3,56,3,73,3,85,3,94,3,94,3,94,3,94,3,94,3,94,3,94,3,94,3,94,3,94,3,94,3,94,3,94,3,119,0
0,0,0,1,1,4,2,6,3,15,3,18,3,23,3,27,3,31,4,33,4,38,4,42,5,50,5,69,5,73,7,83,7,89,8,107,8,114,8,118,9,132,9,198,0
0,0,0,5,0,12,1,18,1,20,1,23,3,32,3,42,3,48,3,56,3,59,4,62,4,72,4,82,4,92,4,106,4,114,4,130,4,137,6,147,7,153,7,179,0
0,0,0,5,0,18,0,27,0,30,0,36,0,43,0,47,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,150,0
0,0,0,10,0,23,0,31,0,45,0,60,0,71,0,90,1,95,1,100,2,105,2,112,2,114,2,118,2,123,3,127,4,133,5,142,5,152,5,158,5,158,5,155,1
0,0,0,6,0,16,1,19,1,26,1,42,1,42,3,46,3,50,3,62,3,69,4,80,4,97,4,105,4,113,4,128,4,134,4,150,4,150,4,150,4,150,4,148,1
0,0,0,3,0,10,0,23,0,35,0,37,1,42,1,48,1,54,2,60,2,67,2,80,2,86,3,89,3,95,3,102,3,110,3,114,4,132,4,132,4,132,4,131,1
0,0,0,5,0,17,0,33,0,41,0,54,0,59,2,66,2,74,2,82,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,1
0,0,0,2,0,15,1,31,1,49,1,60,2,64,2,68,3,71,5,82,6,83,9,93,9,93,9,93,9,93,9,93,9,93,9,93,9,93,9,93,9,93,9,185,0
0,0,0,7,2,12,2,21,2,28,2,42,2,45,2,50,2,56,2,62,2,70,2,72,2,81,2,87,2,93,2,101,3,109,4,121,4,129,5,142,5,148,5,147,1
0,0,0,9,0,15,0,25,0,37,0,44,0,49,0,58,0,71,1,72,2,74,3,83,3,97,4,105,4,108,4,115,4,119,4,130,5,149,5,168,6,180,6,179,1
0,0,0,1,0,5,0,15,0,24,1,37,1,55,1,58,1,61,1,68,1,83,1,87,2,91,2,98,2,101,3,115,3,121,3,130,4,147,4,166,4,179,4,177,1
0,0,0,11,0,14,0,23,0,25,0,33,2,47,2,49,2,59,2,69,2,74,2,76,2,83,3,94,3,96,4,101,4,108,4,117,4,127,6,136,6,136,9,149,0
0,0,0,7,1,15,1,23,2,34,2,40,3,47,5,54,5,59,5,68,5,72,5,81,5,94,6,99,6,106,6,111,6,119,7,124,9,131,10,131,10,131,10,177,0
0,0,0,2,0,12,0,24,1,30,2,33,2,42,3,50,3,56,3,62,4,70,4,75,4,85,4,94,4,104,4,107,5,124,5,127,6,134,7,152,7,161,8,168,0
0,0,0,6,0,10,0,12,1,20,1,26,2,28,2,39,2,43,3,47,4,49,4,54,4,65,4,71,4,75,4,83,4,99,4,102,4,110,4,114,4,114,4,113,1
0,0,0,16,0,28,0,52,0,63,1,64,2,73,2,80,2,83,2,97,2,99,3,109,3,115,3,121,3,126,3,132,3,141,4,152,4,157,4,167,4,167,4,167,1
